id,name,country_id,year_began,year_ended,notes,url
4013,Bliss On Tap Publishing,225,2004,NULL,Bliss On Tap Publishing 28326 Welfleet Lane Saugus CA 91350,NULL
4014,The Shiver Bones Group,225,1999,NULL,Self-publishing by Matthew Kirscht and others.,http://www.shiverbones.com/grotesquerie/main.html
4015,GraphXPress,225,1985,1998,owned by Jim Groat,NULL
4017,Platinum Studios,225,1997,NULL,Platinum Studios is an entertainment company that specializes in developing and adapting comics and graphic novel content to feature film television animation games the Internet and other media. Platinum Studios 11400 W. Olympic Blvd 14th Floor Los Angeles CA 90064,http://www.platinumstudios.com/
4018,Pyramid Publications,225,1976,1976,Paperback publisher.  Address: 757 Third Avenue New York City NY. ,NULL
4020,Hot Hail Comics,36,2007,2007,Address: 31 Winter Bay Brandon Manitoba R7B H9.,http://www.hothail.ca
4021,Wonderful Publishing Company,225,1968,1982,Bill PeaRson publisher ,NULL
4024,Hanging Chad Entertainment,225,2004,NULL,Self published,http://www.hangingchadentertainment.com
4025,Good Comics [1990s],225,1996,1996,1990's publisher.,NULL
4027,Sterling Publishing Co. Inc.,225,2006,NULL,Book publisher not to be confused with comics publisher of the 50s.,NULL
4028,Majestic Entertainment,225,1993,1994,Cincinnati OH publisher.,NULL
4029,Waldman,225,NULL,NULL,NULL,NULL
4030,H-K Publications,225,1954,1954,"H-K was owned by Joseph J. Hardie and Raymond Kelly who also owned Centaur Publications Inc. and Comic Corporation of America (both found in the GCD under ""Centaur"") in the late 30's and early 40's.H-K existed 1940 - 1956 but did not publish comics during most of that time.See also Harle Publications.",NULL
4032,Jason Brightman,225,2000,2004,self-publisher,http://frayedends.com/
4033,De Boemerang,159,NULL,NULL,Adresgegevens:Postbus 49 2140 AA Vijfhuizen,NULL
4034,Saddle Tramp Press,225,2001,NULL,NULL,http://www.saddletramppress.com
4035,Delcourt,72,1986,NULL,The legal name of the company is Guy DELCOURT Productions.,http://www.editions-delcourt.fr/
4037,Don Lawrence Collection,159,1987,NULL,Opgericht door Rob van Bavel vanuit zijn fanblad over de werken van Don Lawrence.,http://www.donlawrence.nl/
4038,Carroll & Graf,225,1982,NULL,NULL,NULL
4039,Desperado Publishing,225,2007,NULL,NULL,http://www.desperadopublishing.com
4040,De Harmonie,159,1972,NULL,Zie ook elders de titels uitgegeven door De Harmonie in samenwerking met de volgende uitgevers: Futuropolis Houtekiet Icarus Loempia Oog & Blik Het Raadsel Sanoma Uitgevers Sherpa Standaard Uitgeverij Van Halewyck en Vrijdag.,NULL
4041,Catullus,159,2007,NULL,Opgericht door stripmaker Jean-Marc van Tol vooral bekend van Fokke & Sukke.,http://www.catullus.nl/
4042,Loempia,20,1983,1996,NULL,NULL
4043,Wolf Publishing Company,75,1992,NULL,Start date based on know issues of The Phantom,NULL
4045,Brain Scan Studios,225,2006,NULL,NULL,http://www.brainscancomics.com/
4046,Beacon Press,225,1964,NULL,"In 1902 ""Beacon Press"" became an imprint and colophon of the American Unitarian Association publishing division. It published both religious and secular books.  In 1914 it was incorporated as a separate corporation. By the mid-1950s it pioneered the modern ""trade paperback"".  With the formation of the Unitarian Universalist Association in 1961 it was eventually developed that Beacon Press would get the secular books and the related Skinner House Books  would publish the religious books.   A line of graphic novels was attempted in 2010 but only one was actually published.",http://www.beacon.org/
4047,SCC Entertainment,225,NULL,NULL,NULL,NULL
4048,Didactic Chocolate Press,225,1996,1997,NULL,NULL
4049,Adventure Comics,225,1997,NULL,NULL,NULL
4052,Valiant Entertainment,225,2007,NULL,Not the same company as that involved in the Valiant/Acclaim business.,http://www.ValiantUniverse.com
4053,Studio G,225,2001,NULL,NULL,NULL
4054,JMF,72,2007,NULL,NULL,NULL
4055,Funnel Cloud 9,225,2005,2005,Independent publisher,NULL
4056,Angry Dog Press,225,2000,2000,Small Press publisher,NULL
4057,Daily Mirror Newspapers Ltd.,225,1975,1975,Publisher of giveaway comics.,NULL
4058,Manga Media AB,189,2003,NULL,Samarbete mellan Full Stop Media och Bonnier Carlsen med mål att ge ut japanska serier.,NULL
4059,Drive Comics,225,2003,NULL,Drive Comics (David VonAllmen) 6614 Clayton Rd. #204 St. Louis MO 63117,http://www.drivecomics.com
4060,Grizmart Productions,225,1997,2007,NULL,NULL
4061,Holco Publications,159,1976,NULL,NULL,NULL
4062,Rorschach Entertainment,225,2003,NULL,Rorschach Entertainment is a Seattle area based company that was officially started up in late 1999 as a label for artist James Taylor to use as creative outlet for his prints and comic book creations.RE quickly morphed into a broader spectrum covering all areas of entertainment not limited to just creations by James Taylor.In late 2000 RE launched The Small Press Magazine which was an e-zine dedicated to the coverage of independent comic books and their creators. The Small Press Magazine launched to much fanfare and became the largest site covering exclusively indy comics surpassing all other indy sites in traffic within its first two months. SPM ran for almost two years before coming to a stop though all contents can be found in the archives of indyshow.com. Almost a year after the magazines demise it is still remembered fondly from various publishers and creators that still beg for its return.Before the end of SPM Rorschach Entertainment began gearing up to enter the comic book market as a publisher which finally came to fruition in late 2003 with the release of Sprecken: The Destiny Dance  from http://rorschachentertainment.com/info/aboutus.html,http://rorschachentertainment.com
4063,Edit Europa,106,NULL,NULL,NULL,NULL
4065,Reallusion,75,NULL,NULL,NULL,NULL
4066,Insomniac Press,36,1992,NULL,NULL,http://www.insomniacpress.com/
4067,United States Information Agency,225,1953,1999,Known as the United States Information Service in other counties. Official names to the organization per the National Archives and Records Administration: U.S. Information Agency 1953-08-01 - 1978-03-27International Communications Agency 1978-03-27 - 1982U.S. Information Agency 1982 - 1999-10-01,NULL
4068,Babson Bros. Co.,225,1947,1947,Produced by Babson Bros. Co. a maker of milking machines.,NULL
4070,Mister Planet,225,1991,1991,NULL,NULL
4071,Red 5 Comics Ltd.,36,2007,NULL,Red 5 Comics is the creation of Paul Ens former director of Lucasfilm's StarWars.com and Lucas Online and Scott Chitwood co-founder of TheForce.net and contributor to ComingSoon.net and SuperHeroHype.com.,http://www.red5comics.com/
4072,Whitney Publishing Corp.,225,1995,1995,587 Post East Rd Suite 539 Westport CT 06880.  President and Publisher: Adam Post.,NULL
4074,Edinational,106,1975,1975,NULL,NULL
4076,Grey Cloud,225,2005,2005,NULL,NULL
4077,Camp Comics,225,2006,NULL,NULL,NULL
4079,Beetlebug Comics,225,2001,NULL,NULL,http://www.beetlebugcomics.com
4080,Nerve Publications,225,1986,NULL,Publisher: Starlen Baxter.,http://www.nervemag.com
4081,Cadillac Comics,225,1985,NULL,NULL,NULL
4082,Wild and Wooly Press,225,2004,NULL,Wild and Wooly Press 2145 Honolulu Montrose CA 91208. Copyright 2004 Chuck Austen and Tom Derenick.,NULL
4083,Mongoose Publishing,225,NULL,NULL,NULL,NULL
4085,Carlton Publishing Group,75,NULL,NULL,NULL,http://www.carltonbooks.co.uk/
4089,DC / Con Edison,225,2004,2008,NULL,NULL
4090,A.W. Bruna & Zoon,159,NULL,NULL,NULL,NULL
4092,Lambuth University,225,2006,2006,NULL,http://www.coffeehousepapers.org/
4093,Crowquill Comics,225,1985,1986,NULL,NULL
4094,Mercury Comics,36,2005,NULL,Originally published under the name Speakeasy Comics.,http://www.mercurycomics.com
4095,Editoriale Domus,106,1929,NULL,NULL,http://www.edidomus.it/
4097,BloodFire Studios,225,1998,NULL,"BloodFire Studios is the brainchild of Dennis Greenhill and Lee Kohse. It was at the Las Vegas Comic Con in December of 1996 with the help of a whole lot of Caffeine and a whole lot of no sleep that they laid the groundwork for the stories Dark Tarot"" and ""Dragoons"". In 1997 both stories were offered to their publisher at the time as mini series' but were told that for various reasons they would not publish either story. After having developed some 5 separate stories for their former publisher already and not having a single one published their frustration peaked at the 1997 San Diego Comic Con when the comment was made that for any of their stories to see print they would have to do it publish it themselves. And so in the summer of 1998 Lee and Dennis left built their OWN sandbox and thus BloodFire Studios was born. Its purpose to expand the medium of comics and to push the creative edge of sci-fi comics with fresh stories and original art styles. And to get Lee and Dennis chicks."" from http://bloodfire.com/about/history.asp",http://bloodfire.com/
4098,Novedi,20,1981,1990,NULL,NULL
4099,Nisses böcker,189,2005,NULL,NULL,NULL
4100,Skrivareförlaget i Skåne AB,189,NULL,NULL,NULL,NULL
4101,Diversity Foundation,225,2006,NULL,NULL,NULL
4102,Editrice DEF,106,NULL,NULL,NULL,NULL
4103,Mangismo [SE],189,2006,NULL,NULL,NULL
4104,Enigma,20,1996,2007,Adresgegevens:Greepstraat 151000 BrusselE-mail: info@b-gevaar.com,http://www.b-gevaar.com/
4105,Rossel,20,NULL,NULL,NULL,NULL
4106,Harko Magazines,159,1979,1980,NULL,NULL
4107,Aardvark Global Publishing Company,225,2006,2006,NULL,NULL
4108,Antidote Comics,225,2007,NULL,NULL,NULL
4109,Bokförlaget DN,189,NULL,NULL,NULL,http://www.bokforlagetdn.se
4110,Hulton Press,75,1950,1960,In 1960 Hulton Press was taken over by Odhams and renamed Longacre Press.,NULL
4111,Collage,189,NULL,NULL,NULL,NULL
4112,University of California Press,225,NULL,NULL,NULL,NULL
4115,Henchman Publishing; Do Gooder Press,225,2003,NULL,In late 2006 or early 2007 the official name changed from Henchman Publishing to Do Gooder Press.,http://nodwick.humor.gamespy.com/index.htm
4117,Ediciones La Cúpula,65,1979,NULL,Publisher based in Barcelona. His publications include manga manhwa (korean comics) spanish european and american underground comic books adult erotic comic books and graphic novels.,http://www.lacupula.com/
4119,Visigoth Studio,225,1986,NULL,Visigoth Studio P.O. Box 1141 Westbrook Maine 04092,NULL
4121,Blind Ferret Entertainment,225,2007,NULL,NULL,http://www.blindferret.com/index2.php
4122,Fry Visions Productions,225,1996,NULL,NULL,NULL
4124,PSI Comics,225,1987,NULL,PSI Comics P.O. Box 358 Munroe Falls OH 44262. Publishers Michael and Marion Mallory.,NULL
4125,New Horizons,225,1991,NULL,New Horizons 23-67 93rd St. E. Elmhurst New York 11369,NULL
4126,Giant Ass Publishing,225,1991,NULL,NULL,NULL
4127,Nederlandse Rotogravure Pers,159,1966,1978,NULL,NULL
4129,Four Square,75,NULL,NULL,NULL,NULL
4130,B & H Publishing Group,225,NULL,NULL,NULL,NULL
4131,Pharos Books,225,NULL,NULL,Noted in one of their 1988 publications that Pharos Books is a Scripps Howard Company.,NULL
4133,Abacus Press,225,1987,1990,NULL,NULL
4134,Tetragrammatron Press,225,NULL,NULL,NULL,NULL
4135,SAF Comics,192,1972,NULL,a.k.a. Strip Art Features,http://www.safcomics.com/
4136,Ponent Mon,65,2003,NULL,Fanfare and Ponent Mon are two separate publishers located in the United Kingdom and Spain resepctively. English translations of European albums are published by Fanfare and Spanish translations are published by Ponent Mon. However each publisher's brand appears on the output of both; they jointly brand their publications.,http://www.ponentmon.com/
4137,Fanfare,75,2003,NULL,alternatively url is http://fanfareuk.co.ukFanfare and Ponent Mon are two separate publishers located in the United Kingdom and Spain respectively. English translations of European albums are published by Fanfare and Spanish translations are published by Ponent Mon.  However each publisher's brand appears on the output of both; they jointly brand their publications.,http://www.swage.net/fanfare
4139,Sparkplug Comic Books,225,2002,NULL,NULL,http://www.sparkplugcomicbooks.com/
4140,David Publishing House,225,1986,1986,Salem Oregon,NULL
4141,Comic Book Legal Defense Fund,225,NULL,NULL,NULL,http://cbldf.org
4142,Blambot,225,2007,NULL,NULL,http://www.blambot.com
4145,MaroVerlag,54,1969,NULL,NULL,https://www.maroverlag.de/
4146,Spider Optics Comics,36,1987,1987,NULL,NULL
4147,Libripress,159,NULL,NULL,NULL,http://www.libripress.nl
4148,Edollandia,159,2006,NULL,NULL,http://www.playhousecomix.nl/
4149,Voordewindkracht 10,159,NULL,NULL,NULL,NULL
4150,Joe Lowe Corp.,225,NULL,NULL,NULL,NULL
4151,Brotherhood of Railroad Trainmen,225,NULL,NULL,NULL,NULL
4152,Schwinn Bicycle Co.,225,NULL,NULL,NULL,NULL
4153,Association of American Railroads,225,NULL,NULL,NULL,NULL
4154,Post Cereal,225,NULL,NULL,NULL,NULL
4155,A.G. Spalding & Bros.,225,NULL,NULL,NULL,NULL
4156,American Iron & Steel Institute,225,1948,1972,NULL,NULL
4158,Bridge Publishing Inc.,225,1984,1985,NULL,NULL
4159,American Bankers Association N.Y.,225,1947,1948,NULL,NULL
4160,National Dunking Association,225,NULL,NULL,NULL,NULL
4161,Omni Comics,225,1990,NULL,Omni Comics 124 W. Jean St. Tampa Florida 33604,NULL
4162,Marshall Comics Incorporated,225,1993,1993,Marshall Comics Incorporated P.O. Box 283 Rancocas NJ 08073. Publisher: John Marshall.,http://jmtoyzilla.tripod.com/comics.html
4163,White Wolf Publishing Co.,225,1987,NULL,White Wolf Publishing Co. P.O. Box 82129 Oklahoma City OK 73148. Publisher: David Fallwell.,NULL
4164,Danger Graphix,225,1990,1990,Danger Graphix P.O. Box 491 Blue Island IL 60406,NULL
4165,Citadel Comics Inc.,225,1992,NULL,Citadel Comics Inc. 4925 Clear Creek Rd. Suite A Las Vegas NV 89110,NULL
4167,Bradshaw-Diehl Co.,225,NULL,NULL,NULL,NULL
4169,Naked City Comics,225,1995,NULL,NULL,NULL
4170,Premium Sales Inc.,225,NULL,NULL,NULL,NULL
4171,Sales Promotions,225,NULL,NULL,NULL,NULL
4172,Arts Industria,225,1990,1990,Arts Industria 425 La Monte Terrace South Bend IN 46616,NULL
4173,Rockford Dry Goods Co.,225,NULL,NULL,NULL,NULL
4174,S.S. Kresge Co.,225,NULL,NULL,NULL,NULL
4175,Kobackers Giftstore of Buffalo N.Y.,225,NULL,NULL,NULL,NULL
4176,G.C. Murphy,225,NULL,NULL,NULL,NULL
4177,Stone & Thomas,225,NULL,NULL,NULL,NULL
4178,Sovereign Service Dealers,225,NULL,NULL,NULL,NULL
4179,Kaiser Frazer Motors,225,NULL,NULL,NULL,NULL
4180,Frederic Ray,225,NULL,NULL,NULL,NULL
4181,United States Rubber Co.,225,NULL,NULL,NULL,NULL
4182,Promotional Publications,225,NULL,NULL,NULL,NULL
4185,Edizioni Cervinia,106,NULL,NULL,NULL,NULL
4186,Mynx,159,2006,NULL,NULL,http://www.mynx.nl
4187,Blanco,20,1989,1992,NULL,NULL
4188,Triangle Publications (Seventeen Magazine),225,NULL,NULL,NULL,NULL
4189,Minnesota Mining & Mfg. Co.,225,NULL,NULL,NULL,NULL
4190,Pictorial Media Inc.,225,NULL,NULL,NULL,NULL
4191,Standard Oil,225,NULL,NULL,NULL,NULL
4192,Studio 100,20,NULL,NULL,NULL,http://www.studio100.be
4193,Lionel Corporation,225,NULL,NULL,NULL,NULL
4194,Carvel Comics,225,1973,1974,Some of their comics produced by Archie.,NULL
4195,Selva and Sons Inc.,225,NULL,NULL,NULL,NULL
4197,Klutzian Komidy Kause Comic Corporation,225,1981,1981,NULL,NULL
4198,Just Imagine Graphix,225,1982,1986,NULL,NULL
4199,Airplane/Anders Brekhus Nilsen,225,1999,NULL,NULL,NULL
4200,James Kochalka,225,1996,NULL,NULL,NULL
4201,Spit and a Half,225,1989,NULL,Mostly a distributor of independently published comics.  Headed by John Porcellino of King Cat Comics.  His comics are listed under his name as a publisher.,http://spitandahalf.blogspot.com/
4202,Ariel Bordeaux,225,1993,1995,NULL,NULL
4203,David Boswell,36,1984,NULL,NULL,NULL
4204,Industrial Services,225,NULL,NULL,NULL,NULL
4205,Deluxe Reading Inc.,225,NULL,NULL,NULL,NULL
4207,Commerce and Industry Commission-Cheyenne Wyoming,225,NULL,NULL,NULL,NULL
4208,Edward F. Howard Corp.,225,NULL,NULL,NULL,NULL
4209,Juniper Studio,225,NULL,NULL,NULL,NULL
4210,Meyers Water Systems,225,NULL,NULL,NULL,NULL
4211,General Comics,225,NULL,NULL,Produced promotional comics in the late 1940's-early 1950's,NULL
4212,Advertising Office State Highway Commission of Montana,225,1957,1957,NULL,NULL
4213,Editoriale Olimpia,106,NULL,NULL,NULL,NULL
4214,Braswell Drinks,225,NULL,NULL,NULL,NULL
4215,Sealright,225,NULL,NULL,NULL,NULL
4216,Mined-Land Conservation Conference,225,NULL,NULL,NULL,NULL
4217,American Cancer Society,225,1969,1985,NULL,NULL
4218,Cargill Incorporated,225,NULL,NULL,NULL,NULL
4219,Big City Comics,225,2006,NULL,website accesses 12/13/07,http://www.bigcitycomicsstudio.com/default.htm
4220,Maverick Studios,225,1994,NULL,NULL,NULL
4221,Greyhound,225,NULL,NULL,NULL,NULL
4222,Comic Book World Productions,225,NULL,NULL,NULL,NULL
4223,Standard Publishing Company,225,1942,1947,"Founded in 1872 to become the parent company of the ""Christian Standard"" (1866-2013+).Owners: Erett and Caroll 1872-c1876; Erett family c1876-1955; John Bolton family (1955-2006 also public shares 1964+); Wicks Group (2006-2013+) A pioneer in Protestant Sunday School and Vacation Bible School publications.  Located in Columbus Ohio; when it produced comic books.",NULL
4224,Franciscan Communications,225,NULL,NULL,NULL,NULL
4225,Conventual Franciscans of Marytown,225,NULL,NULL,NULL,NULL
4226,Billy Graham Evangelistic Association,225,NULL,NULL,NULL,NULL
